month,symbol,signal,vol,carry,rank,weight
2016-12,ZL,0.02289673,0.11301519,-0.04229895,10.0,0.0234375
2017-01,ZL,0.02122966,0.17061861,-0.05281093,9.0,0.0078125
2017-02,ZL,0.02336285,0.1648377,-0.04394466,10.0,0.0234375
2017-03,ZL,0.01405854,0.14130154,-0.05266472,7.0,-0.0234375
2017-04,ZL,0.01637732,0.16789225,-0.04773241,9.0,0.0078125
2017-05,ZL,0.01726152,0.15738199,-0.04877235,11.0,0.0390625
2017-06,ZL,0.01907075,0.11136644,-0.03929209,9.0,0.0078125
2017-07,ZL,0.00238333,0.13336693,-0.03389605,5.0,-0.0546875
2017-08,ZL,-0.00901729,0.16193459,-0.03623371,2.0,-0.1015625
2017-09,ZL,-0.01312925,0.1623631,-0.04504632,3.0,-0.0859375
2017-10,ZL,-0.01321676,0.15306106,-0.06146476,2.0,-0.1015625
2017-11,ZL,-0.01210949,0.16258226,-0.03726283,2.0,-0.1015625
2017-12,ZL,-0.01167528,0.16414743,-0.0324929,4.0,-0.0703125
2018-01,ZL,-0.01193157,0.15475642,-0.0379027,3.0,-0.0859375
2018-02,ZL,-0.01544626,0.12578267,-0.05037202,1.0,-0.1171875
2018-03,ZL,0.0018669,0.12502134,-0.04946121,6.0,-0.0390625
2018-04,ZL,0.00028432,0.10120441,-0.05391621,4.0,-0.0703125
2018-05,ZL,0.00463116,0.05491998,-0.04392845,6.0,-0.0390625
2018-06,ZL,0.00390481,0.08849549,-0.04303508,4.0,-0.0703125
2018-07,ZL,0.00033761,0.11421738,-0.06543444,4.0,-0.0703125
2018-08,ZL,0.00811363,0.11921545,-0.06421426,5.0,-0.0546875
2018-09,ZL,0.0116239,0.11904037,-0.06232978,6.0,-0.0390625
2018-10,ZL,0.0114693,0.12567627,-0.09214753,6.0,-0.0390625
2018-11,ZL,0.0087787,0.12376402,-0.10120828,5.0,-0.0546875
2018-12,ZL,0.00988673,0.10755074,-0.06704771,7.0,-0.0234375
2019-01,ZL,0.0130517,0.07257331,-0.06121038,8.0,-0.0078125
2019-02,ZL,0.01572384,0.14620017,-0.05767972,7.0,-0.0234375
2019-03,ZL,0.00854997,0.1465997,-0.07161951,5.0,-0.0546875
2019-04,ZL,0.01003202,0.1704896,-0.06697517,7.0,-0.0234375
2019-05,ZL,0.00649261,0.16158451,-0.05202916,7.0,-0.0234375
2019-06,ZL,0.00652229,0.16334825,-0.05083435,6.0,-0.0390625
2019-07,ZL,0.00775483,0.16740898,-0.05690285,6.0,-0.0390625
2019-08,ZL,0.01596072,0.0906266,0.0,6.0,-0.0390625
2019-09,ZL,0.01678427,0.1164825,-0.01886948,8.0,-0.0078125
2019-10,ZL,0.01626283,0.09508298,-0.08137085,7.0,-0.0234375
2019-11,ZL,0.01891493,0.10927704,-0.05987719,9.0,0.0078125
2019-12,ZL,0.01752542,0.10581477,-0.05005484,8.0,-0.0078125
2020-01,ZL,0.00947786,0.1617439,-0.07041274,7.0,-0.0234375
2020-02,ZL,0.00785562,0.26473015,-0.07649582,6.0,-0.0390625
2020-03,ZL,0.01034027,0.26806939,-0.07709125,6.0,-0.0390625
2020-04,ZL,0.00845756,0.26789731,-0.08387231,3.0,-0.0859375
2020-05,ZL,0.01221492,0.25224455,-0.07292883,4.0,-0.0703125
2020-06,ZL,0.0125205,0.25867722,-0.06805655,4.0,-0.0703125
2020-07,ZL,0.03794788,0.19252575,0.16892416,8.0,-0.0078125
2020-08,ZL,0.03309885,0.18579139,0.08525686,7.0,-0.0234375
2020-09,ZL,0.03494666,0.17568014,0.04321971,6.0,-0.0390625
2020-10,ZL,0.02606483,0.16930264,0.05270141,5.0,-0.0546875
2020-11,ZL,0.03005784,0.13575527,0.12193503,6.0,-0.0390625
2020-12,ZL,0.06959818,0.16551214,0.13903128,11.0,0.0390625
2021-01,ZL,0.07319886,0.18954689,0.09299441,11.0,0.0390625
2021-02,ZL,0.08583922,0.19225264,0.16029194,11.0,0.0390625
2021-03,ZL,0.09788347,0.21384832,0.24952381,11.0,0.0390625
2021-04,ZL,0.1501879,0.19161418,0.55592623,13.0,0.0703125
2021-05,ZL,0.08769448,0.26578403,0.65775438,15.0,0.1015625
2021-06,ZL,0.06032247,0.35311295,0.32953482,12.0,0.0546875
2021-07,ZL,0.0140924,0.37132355,0.24539777,7.0,-0.0234375
2021-08,ZL,0.01444675,0.38622963,0.09678275,7.0,-0.0234375
2021-09,ZL,0.00444332,0.42607938,0.01019358,5.0,-0.0546875
2021-10,ZL,0.00314615,0.43237632,0.04238227,6.0,-0.0390625
2021-11,ZL,-0.00813998,0.14373928,-0.02136015,3.0,-0.0859375
2021-12,ZL,-0.05012647,0.18286148,-0.025239,1.0,-0.1171875
2022-01,ZL,-0.0471583,0.21328086,0.00093921,1.0,-0.1171875
2022-02,ZL,-0.05383131,0.32037337,0.03097971,1.0,-0.1171875
2022-03,ZL,-0.05021634,0.31825991,0.11053099,1.0,-0.1171875
2022-04,ZL,-0.06256325,0.29870771,0.3392542,2.0,-0.1015625
2022-05,ZL,-0.01925594,0.41036341,0.25141515,5.0,-0.0546875
2022-06,ZL,0.03039365,0.38345599,0.53720567,10.0,0.0234375
2022-07,ZL,0.05144029,0.46865527,0.34411627,10.0,0.0234375
2022-08,ZL,0.09264494,0.45710742,0.66031431,12.0,0.0546875
2022-09,ZL,0.08663725,0.44701958,0.35773622,11.0,0.0390625
2022-10,ZL,0.09592256,0.47171305,0.440251,10.0,0.0234375
2022-11,ZL,0.11072437,0.3772635,0.55459591,12.0,0.0546875
2022-12,ZL,0.08625302,0.35729941,-0.02475371,10.0,0.0234375
2023-01,ZL,0.08475888,0.36882342,-0.015871,10.0,0.0234375
2023-02,ZL,0.07754597,0.36812939,-0.02997412,10.0,0.0234375
2023-03,ZL,0.05553855,0.34312885,-0.01356657,9.0,0.0078125
2023-04,ZL,0.01789166,0.34369415,-0.0067362,5.0,-0.0546875
2023-05,ZL,0.02313355,0.1810361,-0.02801965,5.0,-0.0546875
2023-06,ZL,0.05507774,0.12277738,0.6157075,10.0,0.0234375
2023-07,ZL,0.06451156,0.57470483,0.45233898,13.0,0.0703125
2023-08,ZL,-0.01285785,0.58021565,0.30941341,4.0,-0.0703125
2023-09,ZL,0.00627566,0.57117975,0.16748224,5.0,-0.0546875
2023-10,ZL,-0.00386832,0.58820815,0.14535023,7.0,-0.0234375
2023-11,ZL,-0.02422668,0.62001329,0.00722802,6.0,-0.0390625
2023-12,ZL,-0.00078257,0.59783341,-0.04172031,7.0,-0.0234375
2024-01,ZL,-0.00204936,0.29339303,-0.06727829,8.0,-0.0078125
2024-02,ZL,-0.00077522,0.2267748,-0.07328984,6.0,-0.0390625
2024-03,ZL,0.00228261,0.20910457,-0.06805128,7.0,-0.0234375
2024-04,ZL,-0.00478498,0.22673822,-0.104511,7.0,-0.0234375
2024-05,ZL,0.00589571,0.21506522,-0.0630391,7.0,-0.0234375
